City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,Upata,100,VE,1612652178,77,8.0086,-62.3989,80.01,4.0
146,Port Blair,9,IN,1612652326,78,11.6667,92.75,77.74,8.57
147,Siavonga,100,ZM,1612652327,84,-16.5382,28.7088,74.46,4.85
148,Saint-Philippe,40,RE,1612652327,83,-21.3585,55.7679,78.8,4.61
149,Ponta do Sol,13,PT,1612652327,66,32.6667,-17.1,55.0,1.99
150,Belmonte,40,BR,1612652186,78,-15.8631,-38.8828,78.8,11.5
151,San Policarpo,93,PH,1612652328,84,12.1791,125.5072,80.51,15.66
152,Norman Wells,75,CA,1612652328,75,65.282,-126.8329,-29.2,4.61
153,Aden,0,YE,1612652328,67,12.7794,45.0367,73.94,4.12
154,Umluj,0,SA,1612652328,44,25.0213,37.2685,69.94,13.89
155,Guiyang,75,CN,1612652329,100,26.5833,106.7167,50.0,6.71
156,Kirove,91,UA,1612652329,86,47.6531,35.6951,25.56,7.78
157,Saint George,1,US,1612652101,21,37.1041,-113.5841,62.01,5.75
158,Nizhniy Odes,100,RU,1612652329,86,63.6445,54.856,-21.46,11.48
159,Iqaluit,90,CA,1612652100,80,63.7506,-68.5145,26.6,21.85
160,Aklavik,90,CA,1612652197,76,68.2191,-135.0107,-20.2,3.44
161,Arawa,38,PG,1612652330,66,-6.2132,155.5367,85.6,5.48
162,Aswān,0,EG,1612652330,52,24.0934,32.907,57.96,4.72
163,Villarrica,0,PY,1612652202,80,-25.75,-56.4333,67.75,4.18
164,New Norfolk,79,AU,1612652331,59,-42.7826,147.0587,64.0,1.99
165,Dafeng,22,CN,1612652331,73,23.4517,108.5881,63.46,4.21
166,Belaya Gora,30,RU,1612652157,83,68.5333,146.4167,-33.81,0.63
167,Makakilo City,40,US,1612652331,50,21.3469,-158.0858,77.0,12.66
168,Corigliano Calabro,76,IT,1612652332,97,39.595,16.5177,48.99,2.08
169,Aykhal,4,RU,1612652332,81,66.0,111.5,-32.44,7.74
170,Lavrentiya,0,RU,1612652332,79,65.5833,-171.0,-7.49,2.71
171,Upernavik,95,GL,1612652332,77,72.7868,-56.1549,19.63,3.09
172,Newbury,100,GB,1612652110,94,51.4003,-1.3206,41.0,5.01
173,Linxia Chengguanzhen,100,CN,1612652149,71,35.6003,103.2064,28.15,0.81
174,Ketchikan,75,US,1612652333,93,55.3422,-131.6461,39.2,8.05
175,Nelson Bay,7,AU,1612652333,73,-32.7167,152.15,78.01,11.5
176,Kruisfontein,18,ZA,1612652334,82,-34.0033,24.7314,66.99,1.99
177,Westport,1,US,1612652334,49,41.1415,-73.3579,42.8,13.8
